"main_category","product","category","calories","protein","carbs","fat","fiber"
"Loose Items","Walnuts (raw)","Nuts & Seeds","654","15.2","13.7","65.2","6.7"
"Loose Items","Chia seeds","Nuts & Seeds","486","16.5","42.1","30.7","34.4"
"Loose Items","Flaxseed (ground)","Nuts & Seeds","534","18.3","28.9","42.2","27.3"
"Loose Items","Sunflower seeds","Nuts & Seeds","584","20.8","20","51.5","8.6"
"Loose Items","Whole milk (3.25% fat)","Dairy","61","3.2","4.8","3.3","0"
"Loose Items","Yogurt (plain, low-fat)","Dairy","63","5","7","1.5","0"
"Loose Items","Cheddar cheese","Dairy","402","25","1.3","33.1","0"
"Loose Items","Cottage cheese (low-fat)","Dairy","98","11.1","3.4","4.3","0"
"Loose Items","Butter","Dairy","717","0.9","0.1","81.1","0"
"Loose Items","Olive oil","Fats & Oils","884","0","0","100","0"
"Loose Items","Coconut oil","Fats & Oils","892","0","0","100","0"
"Loose Items","Canola oil","Fats & Oils","884","0","0","100","0"
"Loose Items","Sugar (white)","Sweeteners","387","0","100","0","0"
"Loose Items","Honey","Sweeteners","304","0.3","82.4","0","0.2"
"Loose Items","Milk chocolate","Snacks & Confectionery","535","7.6","59","30","3.4"
"Loose Items","Dark chocolate (70%)","Snacks & Confectionery","598","7.9","46.4","42.6","10.9"
"Loose Items","Potato chips","Snacks","536","7","53","34.6","4"
"Loose Items","Popcorn (air-popped)","Snacks","387","12.9","77.9","4.5","15.5"
"Loose Items","Baked beans (canned, in tomato sauce)","Canned Goods","82","5.5","14.2","0.4","4.5"
"Loose Items","Tomato paste","Canned Goods","82","4.3","19","0.5","3.9"
"Loose Items","Coconut milk (canned)","Canned Goods","230","2.3","5.5","24","0"
"Loose Items","Soya sauce","Condiments","53","8.1","4.9","0.6","0"
"Loose Items","Mayonnaise","Condiments","680","0.9","0.6","75","0"
"Loose Items","Ketchup","Condiments","112","1.1","25","0.1","0.3"
"Loose Items","Coffee (brewed)","Beverages","1","0.1","0","0","0"
"Loose Items","Black tea (brewed)","Beverages","1","0.1","0","0","0"
"Loose Items","Orange juice (fresh)","Beverages","45","0.7","10.4","0.2","0.2"
"Loose Items","Apple juice","Beverages","46","0.1","11.3","0.1","0"
"Loose Items","Coke (regular)","Beverages","39","0","10.6","0","0"
"Loose Items","Beer (regular)","Beverages","43","0.5","3.6","0","0"
"Loose Items","Ice cream (vanilla)","Frozen","207","3.5","24","11","0"
"Loose Items","Frozen peas","Frozen","81","5.4","14.5","0.4","5.1"
"Loose Items","Sourdough bread","Bakery","250","9","49","3","3"
"Loose Items","Croissant","Bakery","406","8","45","21","2.4"
"Loose Items","Spaghetti (dry)","Grains","371","13","75","1.5","3.2"
"Loose Items","Cornflakes","Cereals","357","7.5","84","0.4","3"
"Loose Items","Granola (with nuts)","Cereals","471","8.9","64","19","7"
"Loose Items","Protein powder (whey)","Supplements","400","80","8","6","0"
"Loose Items","Sausage (pork)","Meat & Poultry","301","12","1.3","26","0"
"Loose Items","Bacon","Meat & Poultry","541","37","1.4","42","0"
"Loose Items","Sushi (salmon roll, avg)","Prepared Foods","150","5","20","4","1"
"Loose Items","Pizza (cheese, avg)","Prepared Foods","266","11","33","10","2.3"
"Loose Items","Noodles (instant)","Convenience","436","10.6","61","17","3.2"
"Loose Items","Cereal bar","Snacks","370","8","65","5","6"
"Loose Items","Soy milk (unsweetened)","Dairy Alternatives","33","3.3","0.7","1.6","0.6"
"Loose Items","Almond milk (unsweetened)","Dairy Alternatives","15","0.6","0.3","1.2","0.2"
"Loose Items","Vinegar (white)","Condiments","18","0","0","0","0"
"Loose Items","Mustard","Condiments","66","4.4","5.8","4.2","3"
"Loose Items","Oregano (dried)","Herbs & Spices","265","9","68","4.3","42"
"Loose Items","Black pepper (ground)","Herbs & Spices","255","10.4","64.8","3.3","26.5"
"Loose Items","Lentil flour","Flours","357","26","47","1.8","11"
"Loose Items","Tahini","Spreads","595","17","17","53","9"
"Loose Items","Hummus","Dips","166","7.9","14.3","8.6","6"
"Loose Items","Sardine (fresh, cooked)","Seafood","208","25","0","11.5","0"
"Loose Items","Cod (cooked)","Seafood","105","23","0","0.9","0"
"Loose Items","Yam (cooked)","Vegetable","118","1.5","27.9","0.2","4.1"
"Loose Items","Dates (Medjool)","Fruit","277","1.8","75","0.2","6.7"
"Loose Items","Raisins","Fruit","299","3.1","79.2","0.5","3.7"
"Loose Items","Molasses","Sweeteners","290","0.4","74.7","0","0"
"Loose Items","Green tea (brewed)","Beverages","1","0.2","0","0","0"
"Loose Items","Tofu (silken)","Protein","55","4.8","1.9","2.7","0.3"
"Loose Items","Kale (raw)","Vegetable","49","4.3","8.8","0.9","3.6"
"Loose Items","Arugula","Vegetable","25","2.6","3.7","0.7","1.6"
"Loose Items","Pomegranate","Fruit","83","1.7","18.7","1.2","4"
"Loose Items","Blueberry","Fruit","57","0.7","14.5","0.3","2.4"
"Loose Items","Blackberry","Fruit","43","1.4","9.6","0.5","5.3"
"Loose Items","Pear","Fruit","57","0.4","15.2","0.1","3.1"
"Loose Items","Plum","Fruit","46","0.7","11.4","0.3","1.4"
"Loose Items","Apricot","Fruit","48","1.4","11.1","0.4","2"
"Loose Items","Fig (fresh)","Fruit","74","0.8","19.2","0.3","2.9"
"Loose Items","Cranberry (raw)","Fruit","46","0.4","12.2","0.1","3.6"
"Loose Items","Lime","Fruit","30","0.7","10.5","0.2","2.8"
"Loose Items","Lemon","Fruit","29","1.1","9.3","0.3","2.8"
"Loose Items","Beetroot (cooked)","Vegetable","44","1.6","9.6","0.2","2.8"
"Loose Items","Brussels sprouts","Vegetable","43","3.4","9","0.3","3.8"
"Loose Items","Asparagus (cooked)","Vegetable","20","2.2","3.9","0.1","2.1"
"Loose Items","Green beans (cooked)","Vegetable","31","1.8","7","0.1","3.4"
"Loose Items","Leek","Vegetable","61","1.5","14.2","0.3","1.8"
"Loose Items","Pumpkin (cooked)","Vegetable","20","1","4.9","0.1","1.1"
"Loose Items","Cornmeal (dry)","Grains","370","6.9","79","3.9","7.3"
"Loose Items","Barley (cooked)","Grains","123","2.3","28.2","0.4","3.8"
"Loose Items","Buckwheat (cooked)","Grains","92","3.4","19.9","0.6","2.7"
"Loose Items","Polenta (cooked)","Grains","70","1.3","15","0.6","1.1"
"Loose Items","Bulgar (cooked)","Grains","83","3.1","18.6","0.2","4.5"
"Loose Items","Sorghum (cooked)","Grains","329","11.3","72.1","3.3","6.7"
"Loose Items","Seitan","Protein","370","75","14","1.9","0.6"
"Loose Items","Duck (cooked)","Meat & Poultry","337","19","0","28","0"
"Loose Items","Goat (cooked)","Meat & Poultry","122","20.6","0","2.5","0"
"Loose Items","Venison (cooked)","Meat & Poultry","158","30","0","3.2","0"
"Loose Items","Octopus (cooked)","Seafood","164","29.8","3.1","2.1","2.2"
"Loose Items","Clams (cooked)","Seafood","74","12.8","2.6","0.9","0"
"Loose Items","Crab (cooked)","Seafood","97","19","0","1.5","0"
"Loose Items","Scallop (cooked)","Seafood","111","20.5","5.4","0.8","0"
"Loose Items","Almond butter","Spreads","614","21.2","19.1","55","10"
"Loose Items","Hazelnuts","Nuts & Seeds","628","14.1","16.7","60.8","9.7"
"Loose Items","Macadamia nuts","Nuts & Seeds","718","7.9","13.8","75.8","8.6"
"Loose Items","Pistachios","Nuts & Seeds","562","20.2","27.5","45.4","10.6"
"Loose Items","Pecans","Nuts & Seeds","691","9.2","13.9","72","9.6"
"Loose Items","Ricotta (whole)","Dairy","174","11.3","3","13","0"
"Loose Items","Evaporated milk","Dairy","134","6.9","10.6","6.9","0"
"Loose Items","Condensed milk (sweetened)","Dairy","321","7.9","54.4","8.7","0"
"Loose Items","Skim milk","Dairy","34","3.4","5.1","0.1","0"
"Loose Items","Ghee","Fats & Oils","900","0.5","0","100","0"
"Loose Items","Lard","Fats & Oils","902","0","0","100","0"
"Loose Items","Breadcrumbs","Bakery","395","13","65","5","3.5"
"Loose Items","Bagel","Bakery","250","9","49","1","2"
"Loose Items","Pita bread","Bakery","275","9","55","1.5","3.5"
"Loose Items","Tortilla (wheat)","Bakery","310","8","50","7","3"
"Loose Items","Naan","Bakery","310","8","49","6","2"
"Loose Items","Muesli","Cereals","380","8","67","7","8"
"Loose Items","Soy sauce (reduced salt)","Condiments","53","8.1","4.9","0.6","0"
"Loose Items","Maple syrup","Sweeteners","260","0","67","0","0"
"Loose Items","Agave syrup","Sweeteners","310","0","76","0","0"
"Loose Items","Cottage cheese (full fat)","Dairy","98","11.1","3.4","4.3","0"
"Loose Items","Marmalade","Spreads","250","0.3","63","0.2","0.5"
"Loose Items","Jam (strawberry)","Spreads","250","0.4","65","0.1","0.5"
"Loose Items","Pancake (plain)","Bakery","227","6","28","9","1"
"Loose Items","Waffle","Bakery","291","6","34","14","1.5"
"Loose Items","Crepe (plain)","Bakery","150","6","18","6","0.5"
"Loose Items","Sausage roll","Bakery","320","10","25","20","1.5"
"Loose Items","Falafel (fried)","Prepared Foods","333","13.3","31.8","17.8","5"
"Loose Items","Veg burger (frozen)","Prepared Foods","200","12","18","8","3"
"Loose Items","Beef burger (cooked)","Prepared Foods","254","26","0","17","0"
"Loose Items","Milk chocolate bar (standard)","Misc","535","7.6","59","30","3.4"
"Loose Items","Pretzels","Misc","380","8.1","80","3.3","2.2"
"Loose Items","Granulated sugar","Misc","387","0","100","0","0"
"Loose Items","Skimmed yogurt (fruit)","Misc","59","3.5","8","0.4","0"
"Loose Items","Cottage cheese (ricotta style)","Misc","174","11.3","3","13","0"
"Loose Items","Pumpkin seeds","Misc","559","30.2","10.7","49.1","6"
"Loose Items","Poppy seeds","Misc","525","17","28.1","41.6","19.5"
"Loose Items","Sesame seeds","Misc","573","17.7","23.4","49.7","11.8"
"Loose Items","Maltose syrup","Misc","310","0","79","0","0"
"Loose Items","Brown sugar","Misc","380","0","98","0","0"
"Loose Items","Milk chocolate bar (standard) (2)","Misc","535","7.6","59","30","3.4"
"Loose Items","Pretzels (2)","Misc","380","8.1","80","3.3","2.2"
"Loose Items","Granulated sugar (2)","Misc","387","0","100","0","0"
"Loose Items","Skimmed yogurt (fruit) (2)","Misc","59","3.5","8","0.4","0"
"Loose Items","Cottage cheese (ricotta style) (2)","Misc","174","11.3","3","13","0"
"Loose Items","Pumpkin seeds (2)","Misc","559","30.2","10.7","49.1","6"
"Loose Items","Poppy seeds (2)","Misc","525","17","28.1","41.6","19.5"
"Loose Items","Sesame seeds (2)","Misc","573","17.7","23.4","49.7","11.8"
"Loose Items","Maltose syrup (2)","Misc","310","0","79","0","0"
